,OBJECTID,HSISID,NAME,ADDRESS1,CITY,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,PERMITID,X,Y,GEOCODESTATUS
1682,1893212,4092015731,IHOP #3331,7471 SIX FORKS RD ,RALEIGH,27615,(919) 847-4467,2010-10-06,11218,-78.64672008,35.88190821,M
1683,1893213,4092017274,HARRIS TEETER #43 STARBUCKS,3638 ROGERS RD ,WAKE FOREST,27587,(919) 562-9521,2016-06-24,11226,-78.50482681,35.94464173,M
1684,1893214,4092017829,DUNKIN DONUTS #347837,3511 KILDAIRE FARM RD ,CARY,27518,(919) 367-9949,2018-04-24,11227,-78.79278417,35.70189107,M
1685,1893215,4092015114,Subway #3262,1813 N Harrison AVE ,CARY,27513,(919) 678-1191,2008-04-23,11224,-78.76837941,35.82980559,M
1689,1893219,4092014971,Hampton Inn & Suites Brier Creek Foodservice,8021 Arco Corporate  DR ,RALEIGH,27617,(919) 484-0500,2007-10-04,11265,-78.77725928,35.9073627,M
1691,1893221,4092016732,RESCO MINI MART,7200-A OLD STAGE RD ,RALEIGH,27603,(919) 779-7610,2014-08-21,11297,-78.65731826,35.67818864,M
1692,1893222,4092017573,BLUE FOX INDIAN CUISINE,2250 GATHERING PARK CIR ,CARY,27519,(919) 234-1387,2017-04-20,11308,-78.85752223,35.82041548,M
1693,1893223,4092016217,HARRIS TEETER #136 DELI,9600 FALLS OF NEUSE  RD ,RALEIGH,27615,(919) 676-6614,2012-07-02,11312,-78.60015155,35.90522894,M
1694,1893224,4092016325,THE FICTION KITCHEN,428 SE DAWSON ST ,RALEIGH,27601,(919) 831-4177,2012-12-14,11300,-78.64374641,35.77461388,M
1695,1893225,4092017159,ARBY'S #6151,6308  CAPITAL BLVD ,RALEIGH,27616,(919) 954-6185,2016-02-23,11324,-78.57917753,35.87164303,M
1697,1893227,4092015575,TRIBECA TAVERN,500 LEDGESTONE WAY ,CARY,27519,(919) 465-3055,2010-02-19,11329,-78.84803797000001,35.79230683,M
1698,1893228,4092017144,MOE'S #100810,8111-101 CREEDMOOR RD ,RALEIGH,27613,(919) 803-0542,2016-01-29,11303,-78.68081035,35.89754797,M
1699,1893229,4092016248,BIDA MANDA,222 S BLOUNT ST ,RALEIGH,27601,(919) 829-9999,2012-08-28,11338,-78.63692839,35.77726279,M
1700,1893230,4092015576,TROPICAL SMOOTHIE CAFE,8111-157 CREEDMOOR RD ,RALEIGH,27613,(919) 803-5991,2010-03-03,11330,-78.68081035,35.89754797,M
1701,1893231,4092016251,ANNAS PIZZERIA,138 S MAIN ST ,FUQUAY VARINA,27526,(919) 285-2497,2012-09-04,11339,-78.80003832,35.58309804,M
1703,1893233,4092018546,CHEENI@YMCA,1603 HILLSBOROUGH ST ,RALEIGH,27605,(918) 720-4337,2021-02-28,11355,-78.65901345,35.78367588,M
1704,1893234,4092016005,HIBACHI & CO,708  N JUDD PKY ,FUQUAY VARINA,27526,(919) 552-8899,2011-09-20,11346,-78.80742182,35.6004861,T
1705,1893235,4092012930,PTA Of Wake Forest,12277 CAPITAL BLVD ,WAKE FOREST,27587-6200,(919) 554-1400,1999-05-17,11404,-78.54097555,35.98087356,M
1706,1893236,4092014757,Arby's #7814,2601 Wake Forest RD ,RALEIGH,27609,(919) 832-6885,2007-01-08,11425,-78.62513234,35.81840468,M
1707,1893237,4092017700,Fairfield Inn &  Suites Kitchen,6408 Capital BLVD ,RALEIGH,27616,(919) 878-1120,2017-10-19,11430,-78.57841709,35.87180791,M
1709,1893239,4092018048,Sheetz #664,6030 Village Park DR ,KNIGHTDALE,27545,(919) 295-4217,2019-02-04,11436,-78.50003382,35.79758228,M
1710,1893240,4092016464,SUBWAY #57792,2736 NC HWY 55 ,CARY,27519,(919) 521-8541,2013-07-16,11374,-78.87103723,35.78548764,M
1711,1893241,4092017821,"Hwy. 55 Burgers, Shakes & Fries #185",8450 Louisburg RD ,RALEIGH,27616,(919) 373-8807,2018-04-06,11441,-78.50930992,35.89359383,M
1717,1893247,4092017980,Four Points Cafe,1200 HURRICANE ALLEY WAY ,RALEIGH,27607,(919) 854-0502,2018-11-14,11487,-78.72528751,35.79764554,M
1718,1893248,4092015702,The Starbar,1731 Trawick RD ,RALEIGH,27604,(919) 231-3535,2010-08-24,11490,-78.57833828,35.80069157,M
1719,1893249,4092018000,Vegan Community Kitchen,803 E Williams ST ,Apex,27502,(919) 372-5027,2018-12-14,11499,-78.84409397,35.72219673,M
1720,1893250,4092018576,Wendy's #6303,1343 Kildaire Farm RD ,CARY,27511,(919) 467-1407,2021-03-24,11526,-78.78290963,35.75983801,M
1722,1893252,4092017135,GOOD HARVEST,1104 LEDSOME LN ,CARY,27511,(919) 322-5558,2016-01-19,11534,-78.74823051,35.76313262,M
1723,1893253,4092016416,JASMIN MEDITERRANEAN BISTRO,424 E SIX FORKS RD ,RALEIGH,27609,(919) 743-3336,2013-04-25,11535,-78.62602299,35.82001805,M
1724,1893254,4092016417,SUBWAY #57757,2020 HILLSBOROUGH ST ,RALEIGH,27607,(919) 322-2015,2013-05-30,11536,-78.66276676,35.78662932,M
1725,1893255,4092017776,Popeyes #12729,3904 Western BLVD ,RALEIGH,27606,(919) 977-6364,2018-01-12,11549,-78.69043452,35.78509127,M
1727,1893257,4092017918,SAMMY'S TAP & GRILL,2235 AVENT FERRY RD ,RALEIGH,27606-2133,(919) 755-3880,2018-09-11,11553,-78.67605091,35.77835817,M
1728,1893258,4092012120,Second Empire at Dodd-Hinsdale,330 HILLSBOROUGH ST ,RALEIGH,27603-1726,(919) 829-3663,1997-09-05,11578,-78.64468913,35.78102197,M
1729,1893259,4092016751,LELI'S DINER,3325-109 ROGERS ROAD,WAKE FOREST,27587,(919) 263-1377,2014-09-02,11570,-78.51412541,35.95025455,M
1730,1893260,4092010556,Piccola Italia,423 WOODBURN RD,RALEIGH,27605-1323,(919) 833-6888,1991-03-19,11584,-78.66025735,35.7899673,M
1731,1893261,4092018709,AC Hotel Raleigh Downtown by Marriott,9 GLENWOOD AVE,RALEIGH,27603,,2021-09-21,11589,-78.64791199,35.78151994,M
1732,1893262,4092013454,Torero's Restaurant,4721 Atlantic Ave,RALEIGH,27604,(919) 873-9116,2001-11-20,11595,-78.60292943,35.84801871,M
1733,1893263,4092017498,WING STOP #1245,684-A CARY TOWNE BLVD ,CARY,27511,(919) 234-0736,2016-12-30,11573,-78.76589162,35.7755899,M
1734,1893264,4092013499,Mellow Mushroom,601 W PEACE ST ,RALEIGH,27605-1519,(919) 832-3499,2002-01-28,11598,-78.64756602,35.78827176,M
1736,1893266,4092016483,VILLAGE DELI & GRILL LAKE BOONE TRAIL,2500 WYCLIFF RD ,RALEIGH,27607,(919) 803-1245,2013-08-06,11608,-78.692995,35.81676997,M
1737,1893267,4092017994,Buldaegi BBQ House,2470 Walnut ST ,CARY,27518,(919) 703-0400,2018-12-07,11611,-78.74427315,35.75323584,M
1738,1893268,4092018135,CHAR-GRILL CARY,3635 SW CARY PKY ,CARY,27513,(919) 461-7112,2019-07-11,11621,-78.83800513,35.78180038,M
1739,1893269,4092018632,Chick-Fil-A #03376,3770 Lake Boone TRL ,RALEIGH,27607,(919) 785-2799,2021-06-01,11626,-78.692995,35.81676997,M
1742,1893272,4092011278,Hardees #1638,403 S Main St ,ROLESVILLE,27571-9664,(919) 554-2720,1993-05-07,11650,-78.46490482,35.91816232,M
1744,1893274,4092018164,DUNKIN' #347369,8710-100 GLENWOOD AVE ,RALEIGH,27617,(919) 784-0050,2019-08-28,11644,-78.74503936,35.88736454,M
1746,1893276,4092018330,Wonderland Tapas and Cocktails,222-103 Glenwood AVE ,RALEIGH,27603,(919) 615-2621,2020-03-02,11687,-78.64733509,35.78392897,M
1747,1893277,4092018533,Cava #117,1017 MARKET CENTER DR,MORRISVILLE,27560,(919) 276-4984,2021-02-15,11715,-78.81676023,35.80454378,M
1748,1893278,4092015094,Trali Irish Pub,10370 Moncreiffe ,RALEIGH,27617,(919) 544-4141,2008-03-13,11717,-78.79238416,35.89997124,M
1751,1893281,4092018603,Subway #30443,9800 Holly Springs RD ,RALEIGH,27540,(919) 387-4818,2021-04-12,11718,-78.79865789,35.66717227,M
1752,1893282,4092018580,Wendy's,8000 Pooler RD ,RALEIGH,27617,(919) 293-1814,2021-03-23,11727,-78.78423163,35.91169976,M
1753,1893283,4092017852,1250 Heritage,1250 Heritage Club Ave,WAKE FOREST,27587,(919) 453-2020 ext. 16,2018-05-30,11746,-78.49666003,35.94973583,M
1754,1893284,4092018207,NAFKOT ETHIOPIAN RESTAURANT,2109-146 AVENT FERRY RD ,RALEIGH,27606-2198,(919) 886-8815,2019-10-28,11731,-78.67658538,35.77936846,M
1755,1893285,4092016536,Elements (at Goodnight's),861 W Morgan  ST ,RALEIGH,27603,(919) 828-5233,2013-11-01,11785,-78.65623803,35.78057044,M
1756,1893286,4092016877,LIFE CAFE POOLSIDE,8715 FALLS OF NEUSE ROAD,RALEIGH,27615,(919) 582-7000,2015-02-27,11742,-78.61205856,35.89621575,M
1757,1893287,4092013590,Maximillian's Grille And Wine Bar,8314 CHAPEL HILL RD ,CARY,27513-4051,(919) 465-2455,2002-04-29,11793,-78.77617181,35.79224815,M
1758,1893288,4092016473,STARBUCKS #75937,500 Fayetteville ST ,RALEIGH,27601,(919) 833-1120,2013-08-16,11805,-78.63997557,35.77359698,M
1760,1893290,4092014517,Mithai House of Indian Desserts,744-F E Chatham ST,CARY,27511,(919) 469-9651,2006-03-08,11748,-78.7651273,35.79183553,M
1761,1893291,4092013252,MacGregor Draft House,107 Edinburgh SOUTH DR ,CARY,27511,(919) 461-1633,2001-01-02,11809,-78.79792507,35.7367619,M
1762,1893292,4092013271,Hayes Barton Cafe & Dessertery,2000 FAIRVIEW RD ,RALEIGH,27608-2316,(919) 856-8551,2001-01-24,11811,-78.64632317,35.80452758,M
1763,1893293,4092013519,Los Tres Magueyes,411-J S Main St ,ROLESVILLE,27571,(919) 562-1669,2002-02-02,11787,-78.46518814,35.91835371,M
1765,1893295,4092016381,POPEYES #11378,1701 PINEWINDS DR ,RALEIGH,27603,(919) 329-0069,2013-03-04,11832,-78.65506548,35.7164361,M
1766,1893296,4092017453,CRAWFORD AND SON,618 N PERSON ST ,RALEIGH,27604,(919) 307-4647,2016-11-01,11839,-78.6340625,35.78882326,M
1767,1893297,4092018516,Triangle Wine Bedford,1540 DUNN RD,RALEIGH,27614-9308,(919) 322-4270,2020-12-30,11847,-78.58619433,35.92539994,M
1769,1893299,4092013062,PNC 118-120,1400 EDWARDS MILL RD ,RALEIGH,27607-3624,(919) 861-2300 ext. 5,1999-12-07,11875,-78.7229363,35.8032419,M
1770,1893300,4092013137,SUBWAY #22217,1601 CROSS LINK RD,RALEIGH,27610-4186,(919) 835-1555,2000-03-20,11880,-78.61481064,35.75482608,M
1771,1893301,4092015015,Subway #42679,10300 Chapel Hill RD ,MORRISVILLE,27560,(919) 469-1985,2007-11-30,11884,-78.82715668,35.83264302,M
1772,1893302,4092015625,Bojangles #42,840 E Chatham ST ,CARY,27511,(919) 467-7030,2010-04-19,11888,-78.76021314,35.79096632,M
1773,1893303,4092013054,PNC 103-105,1400 EDWARDS MILL RD ,RALEIGH,27607-3624,(919) 861-2300 ext. 5,1999-10-28,11895,-78.7229363,35.8032419,M
1774,1893304,4092013070,Jersey Mikes Restaurant,4542 Capital BLVD ,RALEIGH,27604-4353,(919) 790-7827,1999-11-17,11897,-78.57896604,35.84571366,M
1776,1893306,4092015029,Firehouse Subs Ladder #178,10251 Little Brier Creek  LN ,RALEIGH,27617,(919) 806-3900,2007-12-17,11906,-78.78517004,35.91133497,M
1777,1893307,4092016113,Hereghty Heavenly Delicious,2603-123 Glenwood AVE ,RALEIGH,27608,(919) 787-3995,2012-03-06,11902,-78.6604672,35.81647745,M
1778,1893308,4092017830,DUNKIN DONUTS 344467,800 PERRY RD ,APEX,27502,(919) 303-5800,2018-04-25,11920,-78.84460695,35.7208474,M
1780,1893310,4092010162,Circus Family Restaurant,1600 Wake Forest Rd ,RALEIGH,27604-1333,(919) 834-2213,1991-04-25,11932,-78.62468351,35.80050101,M
1781,1893311,4092016870,Southern Foodservice Charter,4200 PARAMOUNT  PKY ,MORRISVILLE,27560,(919) 460-7304,2015-02-11,11949,-78.83206286,35.86029687,M
1783,1893313,4092018486,Chen's Garden,523 N Main ST ,HOLLY SPRINGS,27540,(919) 557-7363,2020-11-24,11957,-78.83687096,35.65966057,M
1784,1893314,4092017225,EAST COAST WINGS NC127,12646-168 CAPITAL BLVD ,WAKE FOREST,27263,(984) 377-3294,2016-05-05,11938,-78.53036367,35.99016598,M
1786,1893316,4092016590,CARIBOU BRUEGGERS #312,3300 DURALEIGH RD ,RALEIGH,27612,(919) 787-9611,2013-12-17,11974,-78.70861775,35.82532536,M
1787,1893317,4092017844,Manhattan Pizza,9660-133 Falls of Neuse RD ,RALEIGH,27615,(919) 847-3995,2018-05-02,11944,-78.60229361,35.90546933,M
1788,1893318,4092016913,TAVERN ON THE GREEN,565 COMPETITION RD ,RALEIGH,27603,(919) 977-8094,2015-05-12,11981,-78.66911618,35.67202739,M
1789,1893319,4092016781,FULL MOON OYSTER BAR,1600 VILLAGE MARKET PL ,MORRISVILLE,27560,(919) 378-9524,2014-10-16,11983,-78.81676023,35.80454378,M
1790,1893320,4092013309,Bojangles #27,3920 Jones Sausage RD ,GARNER,27529,(919) 662-1621,2001-04-23,11994,-78.58008723,35.72685808,M
1793,1893323,4092013673,Goodberry's,11736 Retail Dr,WAKE FOREST,27587-7349,(919) 554-2875,2002-10-01,12014,-78.54238418,35.96758688,M
1794,1893324,4092013746,Jersey Mike's Subs,200 W Peace St ,RALEIGH,27603,(919) 832-7972,2003-01-14,12016,-78.6419529,35.78866275,M
1796,1893326,4092013047,Wake Forest BP Restaurant,103 N WHITE ST,WAKE FOREST,27587-2645,(919) 554-2294,1999-11-17,12026,-78.5093452,35.97984339,M
1797,1893327,4092018555,Lorraine's Coffee House,101 TIMBER POINTE LN,GARNER,27529,(919) 714-7990,2021-03-10,12031,-78.63579484,35.69379154,M
1798,1893328,4092018410,MOD Pizza - Millbrook Rd,2071  W Millbrook Rd,RALEIGH,27612,(919) 987-3668,2020-07-27,12033,-78.67971393,35.85737248,M
1799,1893329,4092010851,Parkside,301 W MARTIN ST,RALEIGH,27601-1352,(984) 232-8969,1991-07-10,12044,-78.64378535,35.77679428,M
1800,1893330,4092017861,Raleigh Meat Market,"3110 New Bern  Ave, Ste 110",RALEIGH,27610,(919) 322-4004,2018-06-15,12048,-78.58674652,35.78850913,M
1801,1893331,4092015246,Gumby's Pizza & Wings,2712 HILLSBOROUGH ST ,RALEIGH,27607,(919) 836-1555,2008-10-03,12054,-78.67170371,35.78888468,M
1804,1893334,4092011117,Royal India Restaurant,3901-103 Capital BLVD,RALEIGH,27604,(919) 981-0849,1992-07-27,12065,-78.58295913,35.83464973,M
1807,1893337,4092010302,GOODBERRY'S #6,2421 Spring Forest Rd,RALEIGH,27615-7540,(919) 878-8159,1991-05-02,12118,-78.59868826,35.8608486,M
1810,1893340,4092018425,Hibachi Flavor,2822 New Birch  DR ,RALEIGH ,27610,(919) 916-5162,2020-08-27,12127,-78.59888069,35.74570711,M
1813,1893343,4092016465,CORBETT'S BURGERS & SODA BAR,126 KILMAYNE DR ,CARY,27511,(919) 461-0055,2013-07-16,12150,-78.78304446,35.77049321,M
1815,1893345,4092013423,John Deere Cafe,2000 EVANS RD,CARY,27513-2008,(919) 804-2509,2001-10-03,12161,-78.80087083,35.82273916,M
1817,1893347,4092013481,McDonald's #26522,5016-101 Spring Forest Rd,RALEIGH,27616,(919) 954-8880,2001-12-20,12164,-78.55692582,35.85595131,M
1818,1893348,4092018160,Dunkin' #351119,999 DURHAM  RD ,WAKE FOREST,27587,(919) 556-9007,2019-08-27,12183,-78.54726412,35.97582732,T
1819,1893349,4092017960,THE PICKLED ONION,8511 CANTILEVER WAY ,RALEIGH,27613,(919) 977-0031,2018-10-18,12185,-78.73779144,35.88567273,M
1820,1893350,4092013496,Starbucks #8495,9630-101 FALLS OF NEUSE RD,RALEIGH,27615-2472,(919) 847-1363,2002-01-14,12167,-78.60240848,35.90512634,M
1821,1893351,4092016073,The Garden Grille & Bar (at Hilton Garden Inn),131 COLUMBUS AVE ,CARY,27518,(919) 377-0440,2011-12-21,12193,-78.73638591,35.7564409,M
1822,1893352,4092016906,SMOOTHIE U,2600 FOUNDER DR ,RALEIGH,27695,(919) 513-0809,2015-04-13,12175,0.0,0.0,U
1824,1893354,4092016900,BRIXX 700,1111 PARKSIDE MAIN ST.,CARY,27519,(919) 923-4731,2015-03-30,12205,-78.88929435,35.84836238,M
1826,1893356,4092013321,Legislative Office Bldg. Snack Bar,300 N Salisbury St ,RALEIGH,27603-5925,(919) 715-6409,2001-04-30,12214,-78.63881833,35.78561791,M
1827,1893357,4092013079,Kadhai-The Indian Wok,6260 GLENWOOD AVE ,RALEIGH,27612-2650,(919) 785-9730,1992-07-29,12225,-78.70313649,35.85876954,M
1829,1893359,4092016780,HARRIS TEETER #430 STARBUCKS,885 WALNUT ST ,CARY,27511,(919) 481-4251,2014-10-15,12235,-78.76561938,35.77485795,M
1830,1893360,4092011181,NC Farm Bureau Cafeteria,5301 GLENWOOD AVE ,RALEIGH,27612-3244,(919) 781-0547,1992-11-13,12239,-78.69211011,35.84689434,M
1833,1893363,4092018119,Osha Thai Kitchen and Sushi,242 S MAIN ST,HOLLY SPRINGS,27540-9094,(919) 601-9188,2019-06-24,12260,-78.83395027,35.64920445,M
1834,1893364,4092018698,TownPlace Suites Food Service,3771  Thistledown DR ,RALEIGH,27606,(984) 300-1410,2021-08-25,12261,-78.69927027,35.75561506,M
1835,1893365,4092014791,Arby's #7820,6725 Knightdale BLVD ,KNIGHTDALE,27545,(919) 217-9680,2007-02-06,12263,-78.50344651,35.79796245,M
1836,1893366,4092013789,Hong Kong,3490-190 Kildaire Farm RD ,RALEIGH,27518,(919) 303-8439,2003-03-19,12250,-78.79444913,35.70342293,M
1837,1893367,4092010688,State Hwy Buidling Lunchenette,1 S Wilmington ST ,RALEIGH,27601,(919) 733-7280,1991-04-03,12282,-78.63730894,35.77991625,M
1838,1893368,4092016778,BIRYANI MAXX,590 E. CHATHAM ST.,CARY,27511,(919) 377-0346,2014-09-29,12305,-78.76832214,35.79037457,M
1839,1893369,4092012312,Taco Bell,1205 LAURA VILLAGE RD ,APEX,27523-7140,(919) 363-6694,1998-10-06,12275,-78.83579203,35.74888522,M
1840,1893370,4092017343,Clarion Pointe Wake Forest Food Service,12401 WAKE UNION CHURCH RD ,WAKE FOREST,27587,(919) 556-4007,2016-10-20,12306,-78.53961914,35.98418878,M
1841,1893371,4092016654,TASTE OF JAMAICA,600 E CHATHAM ST ,CARY,27511,(919) 461-0045,2014-03-26,12312,-78.76780088,35.79071172,M
1842,1893372,4092018434,Bojangles #52,5856 Tryon RD ,CARY,27518,(919) 424-7922,2020-09-03,12313,-78.74008963,35.74648785,M
1843,1893373,4092018054,Which Wich #770,2808-100 Rogers RD ,WAKE FOREST,27587,(919) 761-5172,2019-02-08,12310,-78.52664419,35.95337257,M
1844,1893374,4092018220,Casa Cubana,10901 Forest Pines DR ,RALEIGH,27614,(919) 435-8556,2019-11-06,12321,-78.54524907,35.9442777,M
1845,1893375,4092016143,SHEETZ #480,600 CORPORATE CENTER DR ,RALEIGH,27607,(919) 859-9577,2012-03-27,12323,-78.73922282,35.78976616,M
1846,1893376,4092016145,BUFFALO WILD WINGS #357,1300 VILLAGE MARKET PL ,MORRISVILLE,27560,(919) 469-7872,2012-03-28,12324,-78.81477704,35.80605417,M
1848,1893378,4092014511,New Japan Express,225 Shenstone BLVD,GARNER,27529,(919) 771-0708,2006-02-17,12341,-78.58054205,35.69110315,M
1849,1893379,4092017721,LaFarm Bakery & Cafe W.F. West Cary,5055 Arco ST ,Cary,27519,(984) 228-0300,2017-11-03,12349,-78.88191924,35.83347908,M
1850,1893380,4092017089,RISE CAMERON VILLAGE,530 DANIELS ST ,RALEIGH,27605,(984) 200-6966,2015-11-20,12351,-78.66105804,35.79149603,M
1851,1893381,4092013128,El Rodeo Restaurant,329 S BLOUNT ST,RALEIGH,27601-1803,(919) 829-0777,2000-03-22,12356,-78.63625044,35.77567974,M
1852,1893382,4092015353,HIBACHI JAPAN #2,4001 WAKE FOREST  RD ,RALEIGH,27609,(919) 878-8880,2009-03-09,12361,-78.61511172,35.8362139,M
1853,1893383,4092013187,El Dorado Restaurant,1303 5TH AVE,GARNER,27529-3637,(919) 779-1411,2000-08-09,12364,-78.62278736,35.70820906,M
1854,1893384,4092018055,Habibi Grill,1007 Method RD ,RALEIGH,27606,(919) 986-1928,2019-02-15,12373,-78.69350876,35.78509108,M
1855,1893385,4092016501,MCDONALD'S #35756,4212 WAKE FOREST RD ,RALEIGH,27609,(919) 862-1996,2013-08-30,12380,-78.61155667,35.83876688,M
1860,1893390,4092017618,CORTEZ SEAFOOD AND COCKTAILS,413-100 GLENWOOD AVE ,RALEIGH,27603,(919) 342-8227,2017-05-22,12398,-78.64740203,35.78533541,M
1863,1893393,4092016364,CHOPSTIX,5607 CREEDMOOR RD ,RALEIGH,27612,(919) 781-6268,2013-01-29,12429,-78.68200551,35.85879117,M
1865,1893395,4092011463,Philly Steak And Subs,4701 ATLANTIC AVE,RALEIGH,27604-8108,(919) 878-5748,1994-03-18,12438,-78.60292943,35.84801871,M
1867,1893397,4092018053,Skrimp Shack #21,7224 GB Alford HWY ,HOLLY SPRINGS,27540,(919) 335-3924,2019-02-12,12441,-78.83292783,35.63500069,M
1868,1893398,4092016252,HAMPTON INN WAKE FOREST HOT BREAKFAST,12318 WAKE UNION CHURCH RD ,WAKE FOREST,27587,(919) 554-0222,2012-09-07,12444,-78.54222923,35.98108829,M
1869,1893399,4092017823,Triangle Springs Hospital Foodservice,10901 World Trade BLVD ,RALEIGH,27617,(919) 746-8900,2018-03-26,12447,-78.81422864,35.90306203,M
1870,1893400,4092016504,Comfort Inn,1001 WAKE TOWNE DR ,RALEIGH,27609,(919) 828-1813,2013-09-05,12472,-78.62437774,35.82443426,M
1871,1893401,4092018617,Church's Chicken,1401 NEW BERN AVE ,RALEIGH,27610,(919) 821-2220,2021-04-29,12479,-78.61745225,35.78033482,M
1872,1893402,4092017161,VIC'S ITALIAN RESTAURANT & PIZZERIA,4035-109 LAKE BOONE TRL ,RALEIGH,27607,(984) 200-9292,2016-02-26,12473,-78.69765947,35.81547554,M
1876,1893406,4092018309,Panera Bread #9206 at Wake Med,3000 NEW BERN AVE,RALEIGH,27610,(984) 247-8902,2020-01-27,12493,-78.58796297,35.78391423,M
1877,1893407,4092018049,Lemon Shark Poke,2000 Boulderstone WAY ,CARY,27519,(984) 333-0066,2019-02-05,12496,-78.84859346,35.79156535,M
1878,1893408,4092015242,TRIANGLE MINI MART,10420 CHAPEL HILL  RD ,MORRISVILLE,27560,(919) 469-1720,2008-10-01,12498,-78.8309264,35.83981526,M
1881,1893411,4092016968,SULTAN'S DELI,1459 BEAVER CREEK COMMONS DR ,APEX,27502,(919) 367-6007,2015-07-31,12525,-78.88323254,35.74554013,M
1882,1893412,4092018071,Nancy's Pizzeria,8111-137 Creedmoor RD ,RALEIGH,27613,(919) 870-9777,2019-03-14,12508,-78.68081035,35.89754797,M
1884,1893414,4092017084,THE RALEIGH GRANDE CINEMA,4840 GROVE BARTON RD ,RALEIGH,27613,(919) 788-9000,2015-11-16,12539,-78.71688545,35.87197649,M
1885,1893415,4092018092,Ashley's Harvest Moon Bakery - Cafe,128 Bass Lake RD ,Holly Springs,27540,(919) 586-7005,2019-04-24,12542,-78.82480349,35.65381034,M
1886,1893416,4092016203,NEW RAINBOW GARDEN,407 S MAIN ST ,ROLESVILLE,27571,(919) 554-8838,2012-06-08,12547,-78.46472721,35.91731538,M
1894,1893424,4092018153,Union Special,2409 CRABTREE BLVD,RALEIGH,27604,(984) 200-3094,2019-08-23,12623,-78.61383129,35.80541069,M
1895,1893425,4092016716,The Wild Cook's Indian Grill,3212 Hillsborough St ,RALEIGH,27607,,2014-07-15,12632,-78.68001075,35.79120472,M
1897,1893427,4092014817,Kiko Japan Express,1018-C Shoppes At Midway DR ,KNIGHTDALE,27545,(919) 217-3918,2007-02-20,12626,-78.50497023,35.79806831,M
1899,1893429,4092017598,MCALISTERS DELI #100956,5505-104 CAPITAL BLVD ,RALEIGH,27616,(919) 900-7846,2017-05-12,12637,-78.58184894,35.86077805,M
1900,1893430,4092015027,Poole's Diner,426  S McDowell ST ,RALEIGH,27607,(919) 832-4477,2007-12-11,12646,-78.64230399,35.77471765,M
1901,1893431,4092016485,ZAXBY'S #46101,995 DURHAM RD ,WAKE FOREST,27587,(919) 435-0387,2013-08-07,12658,-78.54660948,35.97593728,M
1902,1893432,4092016114,Chick-Fil-A at North Hills,4154-114 Main at N Hills Street,RALEIGH,27609,(919) 510-0100 ext. 0,2012-03-07,12639,-78.64285669,35.83704421,M
1903,1893433,4092018354,Subway,13200 FALLS OF NEUSE RD,RALEIGH,27614,,2020-04-24,12669,-78.55981965,35.9407555,M
1905,1893435,4092018652,Pure Vegan Cafe,8369 Creedmoor  RD ,RALEIGH,27613,(919) 633-3476,2021-06-16,12685,-78.68223183,35.90105252,M
1908,1893438,4092018040,First Watch Daytime Cafe #580,2808-105 Rogers RD ,WAKE FOREST,27587,(919) 569-5763,2019-01-18,12681,-78.52664419,35.95337257,M
1909,1893439,4092011677,Residence Inn Foodservice,1000 NAVAHO DR ,RALEIGH,27609-7311,(919) 878-6100,1995-04-28,12698,-78.62401365,35.82750878,M
1910,1893440,4092018495,Al Baraka Grill,3815 Hillsborough ST ,RALEIGH,27607,(919) 838-5155,2020-11-16,12704,-78.68961815,35.7941927,M
1911,1893441,4092018670,Burger King #5719,3955 New Bern AVE ,RALEIGH,27610,(919) 231-6415,2021-07-01,12709,-78.56962633,35.79960147,M
1914,1893444,4092017001,NI ASIAN KITCHEN,8817 SIX FORKS RD ,RALEIGH,27615,(919) 916-5106,2015-07-28,12733,-78.65461142,35.89932701,M
1916,1893446,4092014050,Carmen's Cuban Cafe,108 Factory Shops Rd,MORRISVILE,27560,(919) 467-8080,2004-05-14,12743,-78.81829239,35.86238399,M
1917,1893447,4092017613,GONZA TACOS Y TEQUILA,525 NEW WAVERLY PL ,CARY,27518,(919) 653-7310,2017-05-02,12759,-78.77756307,35.73853619,M
1919,1893449,4092016956,CITY BARBEQUE- GARNER,110 CABELA DR ,GARNER,27529,(919) 258-2009,2015-06-12,12766,-78.58356211,35.69799194,M
1922,1893452,4092017735,Starbucks T2D,2400 John Brantley BLVD ,MORRISVILLE,27560,(919) 840-4409,2017-11-15,12769,-78.78941437,35.8696795,M
1924,1893454,4092013967,FEI Huang Restaurant at A&C ,3210-131 S Wilmington St ,RALEIGH,27603,(919) 661-0573,2004-01-06,12737,-78.65050023,35.73622566,M
1925,1893455,4092016713,Red Lobster,4408 Old Wake Forest RD ,RALEIGH,27609-6233,(919) 872-5608,2014-07-18,12781,-78.61058275,35.84113884,M
1926,1893456,4092017227,QUICKLY,4141 DAVIS DR ,MORRISVILLE,27560,(984) 465-0347,2016-05-19,12784,-78.85811603,35.8356265,M
1927,1893457,4092018108,Bumble Tea,3221 AVENT FERRY RD,RALEIGH,27606,(919) 896-8114,2019-05-29,12786,-78.69565606,35.76673883,M
1928,1893458,4092017846,Homewood Suites Cary Foodservice,555 Crossroads BLVD ,CARY,27518,(919) 745-8589,2018-05-01,12787,-78.73253485,35.75843966,M
1929,1893459,4092018355,Little Caesars #2002-12,4610 CAPITAL BLVD,RALEIGH,27604,(919) 877-8600,2020-04-24,12792,-78.57926249,35.84833828,M
